TransactionID,date,time,Type,amount,merchant,country,Channel,Counterparty,timestamp,transaction_id,risk_score,risk_level,risk_flags,risk_details,flagged_for_review,austrac_reporting_required
TX0050,2025-09-01,00:39:58,BPAY,225.9,Amazon Australia,Australia,Branch,,2025-09-01 00:39:58,TX_000001,25.0,MEDIUM,['LATE_NIGHT_TRANSACTION'],['Transaction at 00:00 (High-risk hours: 12am-5am)'],False,False
TX0045,2025-09-01,00:45:30,Direct Credit,235976.2,Coles_Express_LLC,Australia,Wire,,2025-09-01 00:45:30,TX_000002,50.0,HIGH,"['LATE_NIGHT_TRANSACTION', 'LARGE_TRANSACTION']","['Transaction at 00:00 (High-risk hours: 12am-5am)', 'Large transaction: $235,976.20']",True,False
TX0100,2025-09-01,10:51:11,Direct Credit,133.93,NAB,Australia,Mobile App,,2025-09-01 10:51:11,TX_000003,0.0,LOW,[],[],False,False
TX0051,2025-09-01,22:41:31,POS Purchase,1163.65,eBay,Australia,ATM,,2025-09-01 22:41:31,TX_000004,15.0,LOW,['UNUSUAL_HOURS'],['Transaction at 22:00 (Late evening hours)'],False,False
TX0062,2025-09-02,00:30:24,BPAY,329.26,ANZ Bank,Australia,Online,,2025-09-02 00:30:24,TX_000005,25.0,MEDIUM,['LATE_NIGHT_TRANSACTION'],['Transaction at 00:00 (High-risk hours: 12am-5am)'],False,False
TX0073,2025-09-03,22:37:07,Direct Credit,11.6,Domino's Pizza,Australia,ATM,,2025-09-03 22:37:07,TX_000006,15.0,LOW,['UNUSUAL_HOURS'],['Transaction at 22:00 (Late evening hours)'],False,False
TX0039,2025-09-04,02:00:54,Direct Credit,822.66,IKEA Australia,Australia,Mobile App,,2025-09-04 02:00:54,TX_000007,25.0,MEDIUM,['LATE_NIGHT_TRANSACTION'],['Transaction at 02:00 (High-risk hours: 12am-5am)'],False,False
TX0092,2025-09-04,07:10:48,Transfer,857.33,Bunnings,Australia,Branch,,2025-09-04 07:10:48,TX_000008,0.0,LOW,[],[],False,False
TX0053,2025-09-04,19:45:31,POS Purchase,1127.7,Domino's Pizza,Australia,Branch,,2025-09-04 19:45:31,TX_000009,0.0,LOW,[],[],False,False
TX0070,2025-09-05,03:00:00,Direct Credit,9511.42,RemitHub Overseas,Singapore,Mobile App,,2025-09-05 03:00:00,TX_000010,65.0,VERY_HIGH,"['LATE_NIGHT_TRANSACTION', 'INTERNATIONAL_TRANSACTION', 'POTENTIAL_STRUCTURING']","['Transaction at 03:00 (High-risk hours: 12am-5am)', 'International transaction: Singapore', 'Amount $9,511.42 is 4.9% below AUSTRAC threshold ($10,000)']",True,True
